"study_id","segment","code_identifiers","code_main","aro_accession","aro_description","aro_name","mesh_class_id","mesh_definitions","mesh_segment_class","mesh_name"
"10020","ertapenem","","Drug Resisted","ARO:0000070","Ertapenem is a carbapenem antibiotic and is highly resistant to beta-lactamases like other carbapenems. It inhibits bacterial cell wall synthesis.","ertapenem","http://purl.bioontology.org/ontology/mesh/c446479",NA,"Preferred Label","ertapenem"
"10020","imipenem","","Drug Resisted","ARO:3000170","Imipenem is a broad-spectrum antibiotic and is usually taken with cilastatin, which prevents hydrolysis of imipenem by renal dehydropeptidase-I. It is resistant to hydrolysis by most other beta-lactamases. Notable exceptions are the KPC beta-lactamases and Ambler Class B enzymes.","imipenem","http://purl.bioontology.org/ontology/mesh/d015378","semisynthetic thienamycin that has a wide spectrum of antibacterial activity against gram-negative and gram-positive aerobic and anaerobic bacteria, including many multiresistant strains. it is stable to beta-lactamases. clinical studies have demonstrated high efficacy in the treatment of infections of various body systems. its effectiveness is enhanced when it is administered in combination with cilastatin, a renal dipeptidase inhibitor.","Preferred Label","imipenem"
"10020","fluoroquinolones","","Drug Resisted",NA,NA,NA,"http://purl.bioontology.org/ontology/mesh/d024841","a group of quinolones with at least one fluorine atom and a piperazinyl group.","Preferred Label","fluoroquinolones"
"10020","co-trimoxazole","","Drug Resisted",NA,NA,NA,"http://purl.bioontology.org/ontology/mesh/d015662","a drug combination with broad-spectrum antibacterial activity against both gram-positive and gram-negative organisms. it is effective in the treatment of many infections, including pneumocystis pneumonia in aids.","Synonyms","trimethoprim, sulfamethoxazole drug combination"
"10020","tobramycin","","Drug Resisted","ARO:0000052","Tobramycin is an aminoglycoside antibiotic used to treat different types of bacterial infections. Tobramycin works by binding to the bacterial 30S ribosomal subunit, causing misreading of mRNA and leaving the bacterium unable to synthesize proteins vital to its growth.","tobramycin","http://purl.bioontology.org/ontology/mesh/d014031","an aminoglycoside, broad-spectrum antibiotic produced by streptomyces tenebrarius. it is effective against gram-negative bacteria, especially the pseudomonas species. it is a 10% component of the antibiotic complex, nebramycin, produced by the same species.","Preferred Label","tobramycin"
"10020","gentamicin","","Drug Resisted",NA,NA,NA,"http://purl.bioontology.org/ontology/mesh/d005839","a complex antibiotic substance produced by micromonospora purpurea, with three components: gentamicin c1, c2 , and c1a sulfates.|a complex of closely related aminoglycoside bases (e.g., gentamicins c1, c2, and c1(suba)), obtained from micromonospora purpurea and related species.|a complex of closely related aminoglycosides obtained from micromonospora purpurea and related species. they are broad-spectrum antibiotics, but may cause ear and kidney damage. they act to inhibit protein biosynthesis.","Synonyms","gentamicins"
"10020","amoxicillin","A","Drug Resisted","ARO:0000064","Amoxicillin is a moderate-spectrum, bacteriolytic, beta-lactam antibiotic used to treat bacterial infections caused by susceptible microorganisms. A derivative of penicillin, it has a wider range of treatment but remains relatively ineffective against Gram-negative bacteria. It is commonly taken with clavulanic acid, a beta-lactamase inhibitor. Like other beta-lactams, amoxicillin interferes with the synthesis of peptidoglycan.","amoxicillin","http://purl.bioontology.org/ontology/mesh/d000658","a broad-spectrum semisynthetic antibiotic similar to ampicillin except that its resistance to gastric acid permits higher serum levels with oral administration.","Preferred Label","amoxicillin"
"10020","amoxicillin+clavulanic acid","B","Drug Resisted",NA,NA,NA,NA,NA,NA,NA
"10020","cefuroxime","C","Drug Resisted","ARO:0000063","Cefuroxime is a second-generation cephalosporin antibiotic with increased stability with beta-lactamases than first-generation cephalosporins. Cefuroxime is active against Gram-positive organisms but less active against methicillin-resistant strains.","cefuroxime","http://purl.bioontology.org/ontology/mesh/d002444","broad-spectrum cephalosporin antibiotic resistant to beta-lactamase. it has been proposed for infections with gram-negative and gram-positive organisms, gonorrhea, and haemophilus.","Preferred Label","cefuroxime"
"10020","ceftriaxone","D","Drug Resisted","ARO:0000062","Ceftriaxone is a third-generation cephalosporin antibiotic. The presence of an aminothiazolyl sidechain increases ceftriazone's resistance to beta-lactamases. Like other third-generation cephalosporins, it has broad spectrum activity against Gram-positive and Gram-negative bacteria.","ceftriaxone","http://purl.bioontology.org/ontology/mesh/d002443","a broad-spectrum cephalosporin antibiotic with a very long half-life and high penetrability to meninges, eyes and inner ears.","Preferred Label","ceftriaxone"
"10020","ceftazidime","E","Drug Resisted","ARO:0000060","Ceftazidime is a third-generation cephalosporin antibiotic. Like other third-generation cephalosporins, it has broad spectrum activity against Gram-positive and Gram-negative bacteria. Unlike most third-generation agents, it is active against Pseudomonas aeruginosa, however it has weaker activity against Gram-positive microorganisms and is not used for such infections.","ceftazidime","http://purl.bioontology.org/ontology/mesh/d002442","semisynthetic, broad-spectrum antibacterial derived from cephaloridine and used especially for pseudomonas and other gram-negative infections in debilitated patients.","Preferred Label","ceftazidime"
"10020","gentamicin","F","Drug Resisted",NA,NA,NA,"http://purl.bioontology.org/ontology/mesh/d005839","a complex antibiotic substance produced by micromonospora purpurea, with three components: gentamicin c1, c2 , and c1a sulfates.|a complex of closely related aminoglycoside bases (e.g., gentamicins c1, c2, and c1(suba)), obtained from micromonospora purpurea and related species.|a complex of closely related aminoglycosides obtained from micromonospora purpurea and related species. they are broad-spectrum antibiotics, but may cause ear and kidney damage. they act to inhibit protein biosynthesis.","Synonyms","gentamicins"
"10020","tobramycin","G","Drug Resisted","ARO:0000052","Tobramycin is an aminoglycoside antibiotic used to treat different types of bacterial infections. Tobramycin works by binding to the bacterial 30S ribosomal subunit, causing misreading of mRNA and leaving the bacterium unable to synthesize proteins vital to its growth.","tobramycin","http://purl.bioontology.org/ontology/mesh/d014031","an aminoglycoside, broad-spectrum antibiotic produced by streptomyces tenebrarius. it is effective against gram-negative bacteria, especially the pseudomonas species. it is a 10% component of the antibiotic complex, nebramycin, produced by the same species.","Preferred Label","tobramycin"
"10020","meropenem","H","Drug Resisted","ARO:0000073","Meropenem is an ultra-broad spectrum injectable antibiotic used to treat a wide variety of infections, including meningitis and pneumonia. It is a beta-lactam and belongs to the subgroup of carbapenem, similar to imipenem and ertapenem.","meropenem","http://purl.bioontology.org/ontology/mesh/c059500",NA,"Preferred Label","meropenem"
"10020","imipenem","I","Drug Resisted","ARO:3000170","Imipenem is a broad-spectrum antibiotic and is usually taken with cilastatin, which prevents hydrolysis of imipenem by renal dehydropeptidase-I. It is resistant to hydrolysis by most other beta-lactamases. Notable exceptions are the KPC beta-lactamases and Ambler Class B enzymes.","imipenem","http://purl.bioontology.org/ontology/mesh/d015378","semisynthetic thienamycin that has a wide spectrum of antibacterial activity against gram-negative and gram-positive aerobic and anaerobic bacteria, including many multiresistant strains. it is stable to beta-lactamases. clinical studies have demonstrated high efficacy in the treatment of infections of various body systems. its effectiveness is enhanced when it is administered in combination with cilastatin, a renal dipeptidase inhibitor.","Preferred Label","imipenem"
"10020","ertapenem","J","Drug Resisted","ARO:0000070","Ertapenem is a carbapenem antibiotic and is highly resistant to beta-lactamases like other carbapenems. It inhibits bacterial cell wall synthesis.","ertapenem","http://purl.bioontology.org/ontology/mesh/c446479",NA,"Preferred Label","ertapenem"
"10020","cephalosporins","","Drug Resisted",NA,NA,NA,"http://purl.bioontology.org/ontology/mesh/d002511","a family of organic compounds that are composed of a dihydrothiazine ring and a beta-lactam ring.|a group of broad-spectrum antibiotics first isolated from the mediterranean fungus acremonium. they contain the beta-lactam moiety thia-azabicyclo-octenecarboxylic acid also called 7-aminocephalosporanic acid.","Preferred Label","cephalosporins"
"10020","meropenem","","Drug Resisted","ARO:0000073","Meropenem is an ultra-broad spectrum injectable antibiotic used to treat a wide variety of infections, including meningitis and pneumonia. It is a beta-lactam and belongs to the subgroup of carbapenem, similar to imipenem and ertapenem.","meropenem","http://purl.bioontology.org/ontology/mesh/c059500",NA,"Preferred Label","meropenem"
"10081","isoniazid","","Drug Resisted","ARO:3000520","Isoniazid is an organic compound that is the first-line anti tuberculosis medication in prevention and treatment. As a prodrug, it is activated by mycobacterial catalase-peroxidases such as M. tuberculosis KatG. Isoniazid inhibits mycolic acid synthesis, which prevents cell wall synthesis in mycobacteria.","isoniazid","http://purl.bioontology.org/ontology/mesh/d007538","antibacterial agent used primarily as a tuberculostatic. it remains the treatment of choice for tuberculosis.","Preferred Label","isoniazid"
"10081","rifampin","","Drug Resisted","ARO:3000169","Rifampin is a semi-synthetic rifamycin, and inhibits RNA synthesis by binding to RNA polymerase. Rifampin is the mainstay agent for the treatment of tuberculosis, leprosy and complicated Gram-positive infections.","rifampin","http://purl.bioontology.org/ontology/mesh/d012293","a semisynthetic antibiotic produced from streptomyces mediterranei. it has a broad antibacterial spectrum, including activity against several forms of mycobacterium. in susceptible organisms it inhibits dna-dependent rna polymerase activity by forming a stable complex with the enzyme. it thus suppresses the initiation of rna synthesis. rifampin is bactericidal, and acts on both intracellular and extracellular organisms. (from gilman et al., goodman and gilman's the pharmacological basis of therapeutics, 9th ed, p1160)","Preferred Label","rifampin"
"10081","pyrazinamide","","Drug Resisted","ARO:3003413","Pyrazinamide is an Antimycobacterial. It is highly specific and active only against Mycobacterium tuberculosis. This compound is a prodrug and needs to be activated inside the cell. It interferes with the bacterium's ability to synthesize new fatty acids, causing cell death.","pyrazinamide","http://purl.bioontology.org/ontology/mesh/d011718","a pyrazine that is used therapeutically as an antitubercular agent.","Preferred Label","pyrazinamide"
"10081","ethambutol","","Drug Resisted","ARO:3000497","Ethambutol is an antimycobacterial drug prescribed to treat tuberculosis. It is usually given in combination with other tuberculosis drugs, such as isoniazid, rifampicin, and pyrazinamide. Ethambutol inhibits arabinosyl biosynthesis, disrupting mycobacterial cell wall formation.","ethambutol","http://purl.bioontology.org/ontology/mesh/d004977","an antitubercular agent that inhibits the transfer of mycolic acids into the cell wall of the tubercle bacillus. it may also inhibit the synthesis of spermidine in mycobacteria. the action is usually bactericidal, and the drug can penetrate human cell membranes to exert its lethal effect. (from smith and reynard, textbook of pharmacology, 1992, p863)","Preferred Label","ethambutol"
"10083","amoxicillin","B","Drug Resisted","ARO:0000064","Amoxicillin is a moderate-spectrum, bacteriolytic, beta-lactam antibiotic used to treat bacterial infections caused by susceptible microorganisms. A derivative of penicillin, it has a wider range of treatment but remains relatively ineffective against Gram-negative bacteria. It is commonly taken with clavulanic acid, a beta-lactamase inhibitor. Like other beta-lactams, amoxicillin interferes with the synthesis of peptidoglycan.","amoxicillin","http://purl.bioontology.org/ontology/mesh/d000658","a broad-spectrum semisynthetic antibiotic similar to ampicillin except that its resistance to gastric acid permits higher serum levels with oral administration.","Preferred Label","amoxicillin"
"10083","amoxicillin-clavulanate","A","Drug Resisted",NA,NA,NA,NA,NA,NA,NA
"10083","ceftriaxone","C","Drug Resisted","ARO:0000062","Ceftriaxone is a third-generation cephalosporin antibiotic. The presence of an aminothiazolyl sidechain increases ceftriazone's resistance to beta-lactamases. Like other third-generation cephalosporins, it has broad spectrum activity against Gram-positive and Gram-negative bacteria.","ceftriaxone","http://purl.bioontology.org/ontology/mesh/d002443","a broad-spectrum cephalosporin antibiotic with a very long half-life and high penetrability to meninges, eyes and inner ears.","Preferred Label","ceftriaxone"
"10083","cefuroxime","D","Drug Resisted","ARO:0000063","Cefuroxime is a second-generation cephalosporin antibiotic with increased stability with beta-lactamases than first-generation cephalosporins. Cefuroxime is active against Gram-positive organisms but less active against methicillin-resistant strains.","cefuroxime","http://purl.bioontology.org/ontology/mesh/d002444","broad-spectrum cephalosporin antibiotic resistant to beta-lactamase. it has been proposed for infections with gram-negative and gram-positive organisms, gonorrhea, and haemophilus.","Preferred Label","cefuroxime"
"10083","erythromycin","E","Drug Resisted","ARO:0000006","Erythromycin is a macrolide antibiotic with a 14-carbon ring that has an antimicrobial spectrum similar to or slightly wider than that of penicillin, and is often used for people that have an allergy to penicillins. Erythromycin may possess bacteriocidal activity, particularly at higher concentrations by binding to the 50S subunit of the bacterial 70S rRNA complex, inhibiting peptidyl-tRNA translocation. Thus, protein synthesis and subsequently structure/function processes critical for life or replication are inhibited.","erythromycin","http://purl.bioontology.org/ontology/mesh/d004917","a bacteriostatic antibiotic macrolide produced by streptomyces erythreus. erythromycin a is considered its major active component. in sensitive organisms, it inhibits protein synthesis by binding to 50s ribosomal subunits. this binding process inhibits peptidyl transferase activity and interferes with translocation of amino acids during translation and assembly of proteins.","Preferred Label","erythromycin"
"10083","clarithromycin","F","Drug Resisted","ARO:0000065","Clarithromycin is a methyl derivative of erythromycin, sharing the 14-carbon macrolide ring. The antibiotic binds to the 50S subunit of the ribosome and is used to treat pharyngitis, tonsillitis, acute maxillary sinusitis, acute bacterial exacerbation of chronic bronchitis, pneumonia (especially atypical pneumonias associated with Chlamydia pneumoniae or TWAR), and skin structure infections.","clarithromycin","http://purl.bioontology.org/ontology/mesh/d017291","a semisynthetic macrolide antibiotic derived from erythromycin that is active against a variety of microorganisms. it can inhibit protein synthesis in bacteria by reversibly binding to the 50s ribosomal subunits. this inhibits the translocation of aminoacyl transfer-rna and prevents peptide chain elongation.","Preferred Label","clarithromycin"
"10083","tetracycline","G","Drug Resisted","ARO:0000051","Tetracycline is a broad-spectrum polyketide antibiotic produced by many Streptomyces. It works by inhibiting action of the prokaryotic 30S ribosome.","tetracycline","http://purl.bioontology.org/ontology/mesh/d013752","a naphthacene antibiotic that inhibits amino acyl trna binding during protein synthesis.","Preferred Label","tetracycline"
