study_id,include,author_year,bibtype,abstract,author,isbn,journal,keywords,pages,title,url,volume,year,number,annote,doi,edition,language,pmid,round1inc,round1rev,round2inc,round2rev,reviewers,ft_rev,downloaded,csv_name,reason,notes,mex_name,in_codes_db,article_type

0066-4804",Antimicrobial Agents and Chemotherapy,"China,Etest strip,Klebsiella pneumoniae,Klebsiella pneumoniae K01,aged,amikacin,ampicillin,antibiotic resistance,antibiotic sensitivity,article,aztreonam,bacterial count,bacterial gene,bla GES 5 gene,case report,cefepime,ceftazidime,ceftriaxone,chronic bronchitis,ciprofloxacin,colistin,colony forming unit,community acquired pneumonia,cotrimoxazole,epsilometer test,ertapenem,fosfomycin,gene amplification,gene cassette,gene mapping,gentamicin,high throughput sequencing,human,imipenem,integron,laboratory device,lung emphysema,male,meropenem,minimum inhibitory concentration,multilocus sequence typing,nonhuman,nucleotide sequence,piperacillin,piperacillin plus tazobactam,plasmid,polymerase chain reaction,priority journal,tigecycline",6362--6364,{Emergence and plasmid analysis of Klebsiella pneumoniae KP01 carrying blaGES-5 from Guangzhou},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=l612925028 http://dx.doi.org/10.1128/aac.00764-16 http://rd8hp6du2b.search.serialssolutions.com?sid=embase{\&}issn=10986596{\&}id=doi:10.1128{\%}2faac.00764-16{\&}atitle=emergence+and+plasmid+an,60,2016,10,NA,NA,NA,NA,NA,maybe,cale,no,mushtaq,zach,mushtaq,yes,md_1.csv,NA,NA,md_1_1.mex,yes,journal
5226,yes,diene2011,article,"Objective: Enterobacter aerogenes is a common and important human opportunistic pathogen that may cause a wide variety of nosocomial infections. In this study we report the complete genome sequence of an E. aerogenes strain isolated in our institution which showed successive resistance to all available antibiotics including imipenem and colistin in a patient who died from this infection despite antibiotic treatment. The aim of our study was to identify and decipher all resistance determinants of this pan-resistant isolate using genome sequencing approach. Method: Whole shotgun sequencing was used to fully sequence this genome. The shotgun libraries of 4 and 9 kb generated were analyzed and assembled using Phred-Phrap and Consed software suite. Genome annotation was performed using online bioserver RAST server (Rapid Annotations using Subsystems Technology). Standard PCR amplification and sequencing were used to improve sequence regions of low quality on genomic contigs and to characterize putative mutations on candidate genes involved in antibiotic resistance. Principal findings: The genome of E. aerogenes comprises a chromosomal DNA estimated at 5.37 Mb with a G+C content of 55{\%} and one circular plasmid of 162.182 bp in size. The functional annotation of the chromosome gave a total of 5113 predicted coding sequences (CDS) with 3197 (62.53{\%}) being assigned to a biological function including as many as 30 antibiotic resistance encoding genes, 49 antiseptic and heavy-metal resistance encoding genes and more than 100 efflux pump systems. Surprisingly, as compared to other available complete genomes, E. aerogenes genome appears to be more closely related to Klebsiella pneumoniae and not to E. cloacae species. Interestingly, the E. aerogenes conjugative plasmid carries many mobile genetic elements including antibiotic, antiseptics, and heavy metal resistance encoding genes. Finally, we report here the potential molecular mechanism of colistin resistance in this clinical isolate mediated by a single chromosome mutation (G157A) on pmrA gene as compared to a parental susceptible isolate in the PmrAB two-component regulatory system known to be involved in polymyxin resistance. Conclusion: Our study confirms that whole genome sequence is a critical approach to quickly decipher the resistome of any bacterium of clinical relevance. To the best of our knowledge this is the first complete genome sequence of the E. aerogenes species.",S M Diene and C Robert and A {El Filali} and M Henry and S Azza and D Raoult and J M Rolain,1198-743x,Clinical Microbiology and Infection,"DNA,Enterobacter aerogenes,Klebsiella pneumoniae,antibiotic agent,antibiotic resistance,antibiotic therapy,antiinfective agent,chromosome,chromosome mutation,colistin,effusion,gene,genome,genome analysis,heavy metal,hospital infection,human,imipenem,infection,library,mutation,pathogenesis,patient,plasmid,polymyxin,pump,radioallergosorbent test,software,species,technology",s162,{Genome analysis of human multidrug-resistant strain of enterobacter aerogenes},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=l70599392 http://dx.doi.org/10.1111/j.1469-0691.2011.03558.x http://rd8hp6du2b.search.serialssolutions.com?sid=embase{\&}issn=1198743x{\&}id=doi:10.1111{\%}2fj.1469-0691.2011.03558.x{\&}atitle=g,17,2011,NA,NA,NA,NA,NA,NA,no,allison,maybe,zach,brooke,mushtaq,no,md_1.csv,could not access,NA,NA,no,journal
12395,maybe,lo2010,article,"An Enterobacter cloacae blood culture isolate expressing carbapenem resistance via the Klebsiella pneumoniae carbapenemase KPC-2 gene is reported. To our knowledge, this is the first report of a nosocomial isolate with carbapenemase-mediated resistance causing infection in a patient from Tennessee. Copyright {\textcopyright} 2010 by The Southern Medical Association.",A Lo and R Verrall and J Williams and C Stratton and P Della-Latta and Y W Tang,0038-4348,Southern Medical Journal,"Enterobacter cloacae,Enterobacteriaceae infection,Klebsiella pneumoniae,United States,amikacin,antibiotic resistance,antibiotic sensitivity,article,bacterial gene,blood culture,carbapenem,case report,child,cotrimoxazole,diaper dermatitis,diarrhea,doxycycline,ertapenem,fever,human,imipenem,levofloxacin,male,preschool child,seizure,tachycardia,tobramycin",453--454,{Carbapenem resistance via the blaKPC-2 gene in enterobacter cloacae blood culture isolate},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=l358754798 http://dx.doi.org/10.1097/smj.0b013e3181d710bf http://rd8hp6du2b.search.serialssolutions.com?sid=embase{\&}issn=00384348{\&}id=doi:10.1097{\%}2fsmj.0b013e3181d710bf{\&}atitle=carbapen,103,2010,5,NA,NA,NA,NA,NA,maybe,brooke,maybe,cale,brooke,mushtaq,yes,md_1.csv,NA,NA,md_1_1.mex,yes,journal
7979,maybe,gurjav2016,article,"Background Mongolia has high and rising rates of multi-drug resistant tuberculosis (MDR-TB). Spatio-temporal and programmatic evidence suggests a major contribution from MDR-TB transmission, but genotypic evidence has not been assessed. Methods All MDR-TB cases identified during 2012 were examined. Demographic and bacteriological data were obtained from the National Tuberculosis Reference Laboratory. Isolates of Mycobacterium tuberculosis from culture-confirmed category 1 treatment failures were genotyped using 24-loci mycobacterium interspersed repetitive unit (MIRU-24) analysis. Results Of the 210 MDR-TB cases identified, 115 (54.8{\%}) were treatment failures (34.8{\%} category 1; 20.0{\%} category 2). Streptomycin resistance was present in 156 (74.3{\%}) cases; including 55/73 (75.3{\%}) category 1 treatment failures who had never been exposed to streptomycin. Among category 1 treatment failures, Beijing lineage strains predominated (88.0{\%}; 59/67 of genotyped isolates). MIRU-24 clustering was documented in 62.7{\%} (42/67) of strains; 55.2{\%} (37/67) remained clustered when drug susceptibility test results were considered. In total 59.5{\%} (25/42) of clustered strains were Beijing lineage and demonstrated in-vitro resistance to all first-line drugs tested. Conclusion The MDR-TB epidemic in Mongolia appears to be driven by primary transmission of Beijing lineage strains resistant to all first-line drugs. Enhanced infection control strategies together with early MDR-TB case detection and appropriate treatment are necessary to limit escalation of the MDR-TB epidemic.",U Gurjav and B Erkhembayar and B Burneebaatar and E Narmandakh and O Tumenbayar and G A Hill-Cawthorne and B J Marais and V Sintchenko,"1873-281x
1472-9792",Tuberculosis,"China,Mongolia,Mycobacterium tuberculosis,adolescent,adult,antibiotic therapy,article,bacterial strain,disease transmission,ethambutol,female,genotype,human,in vitro study,isoniazid,major clinical study,male,multidrug resistant tuberculosis,priority journal,pyrazinamide,retrospective study,rifampicin,streptomycin,treatment failure",49--53,{TransmissionÂ of multi-drug resistant tuberculosis in Mongolia is driven by Beijing strains of Mycobacterium tuberculosis resistant to all first-line drugs},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=l611878410 http://dx.doi.org/10.1016/j.tube.2016.07.010 http://rd8hp6du2b.search.serialssolutions.com?sid=embase{\&}issn=1873281x{\&}id=doi:10.1016{\%}2fj.tube.2016.07.010{\&}atitle=transmission,101,2016,NA,NA,NA,NA,NA,NA,maybe,brooke,maybe,mushtaq,mushtaq,mushtaq_2,yes,md_2.csv,NA,NA,md_2_1.mex,yes,journal
5606,maybe,durante-mangoni2014,article,"BACKGROUND: Infective endocarditis (IE) due to gram-negative (GN) bacilli is uncommon. Although multi- and extensively-drug resistant (MDR/XDR) GN infections are emerging, very few data are available on IE due to these microrganisms. METHODS: In this study, we describe the clinical characteristics, course and outcome of five contemporary, definite, MDR/XDR GNIE cases seen at our centre. RESULTS: All patients had been admitted to a hospital during the 6months before IE onset, 2 were on hemodialysis and 3 on intravenous medications. Three of the 5 cases were hospital-acquired. Intracardiac prosthetic devices were present in all cases (3 central venous lines, 2 prosthetic heart valves, 2 pacemakers). Mean Charlson comorbidity index was 5.8. Causative pathogens were XDR Pseudomonas aeruginosa (2 cases), XDR Acinetobacter baumannii, MDR Burkolderia cepacia and MDR Escherichia coli (1 case each). Concomitant pathogens with a MDR/XDR phenotype were isolated in 4 patients. Both valves and intracardiac devices and left and right sides of the heart were involved. The rate of complications was high. Antibiotic treatment hinged on the use of colistin, a carbapenem or both. Cardiovascular surgical procedures were performed in 3 patients. Despite aggressive therapeutic regimens, outcomes were poor. Clearance of bacteremia was obtained in 3 patients, in-hospital death occurred in 3 patients, only 1 patient survived during follow up. CONCLUSIONS: MDR/XDR GN are emerging as a cause of IE in carriers of intracardiac prostheses with extensive healthcare contacts and multiple comorbidities. Resistant GNIE has a complicated course and shows a dismal prognosis.",E Durante-Mangoni and R Andini and F Agrusta and D Iossa and I Mattucci and M Bernardo and R Utili,"1879-0828
0953-6205",European Journal of Internal Medicine,",*Drug Resistance,80 and over,Acinetobacter baumannii,Adult,Aged,Anti-Bacterial Agents/*therapeutic use,Anti-infective agents,Bacterial,Bacterial/drug therapy/*epidemiology,Burkholderia cepacia,Charlson Comorbidity Index,Colistin,Endocarditis,Escherichia coli,Female,Follow-Up Studies,Gram negative bacterium,Gram negative infection,Gram-Negative Bacteria/*isolation {\&} purification,Gram-Negative Bacterial Infections/drug therapy/*e,Heart valve prostheses,Humans,Incidence,Italy,Italy/epidemiology,Male,Middle Aged,Multiple,Nosocomial Infection,Prosthesis-related infections,Pseudomonas aeruginosa,Retrospective Studies,Staphylococcus aureus,Stenotrophomonas maltophilia,Time Factors,add on therapy,adult,aged,antibiotic resistance,antibiotic therapy,antiinfective agent,aorta valve replacement,article,artificial heart pacemaker,bacteremia,bacterial clearance,bacterial endocarditis,carbapenem,cardiovascular surgery,central venous catheter,clinical article,clinical feature,colistin,cotrimoxazole,daptomycin,device removal,disease course,extended spectrum beta lactamase producing Escheri,female,follow up,gram negative infective endocarditis,heart valve prosthesis,hemodialysis,hospital admission,human,imipenem,implanted heart pacemaker,incidence,intravenous drug administration,isolation and purification,male,medical device complication,meropenem,microbiology,middle aged,minimum inhibitory concentration,mitral valve replacement,multidrug resistance,nonhuman,outcome assessment,phenotype,pneumothorax,prognosis,prospective study,retrospective study,rifampicin,sepsis,spleen abscess,staphylococcal bacteremia,time,treatment response,vancomycin,very elderly",657--661,{Infective endocarditis due to multidrug resistant gram-negative bacilli: single centre experience over 5 years},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=l604408801 http://dx.doi.org/10.1016/j.ejim.2014.05.015 http://rd8hp6du2b.search.serialssolutions.com?sid=embase{\&}issn=18790828{\&}id=doi:10.1016{\%}2fj.ejim.2014.05.015{\&}atitle=infective+en http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=l53200043 http://rd8hp6du2b.search.serialssolutions.com?sid=embase{\&}issn=18790828{\&}id=doi:10.1016{\%}2fj.ejim.2014.05.015{\&}atitle=infective+end http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=l602419851,25,2014,7,"from duplicate 1 (infective endocarditis due to multidrug resistant gram-negative bacilli: single centre experience over 5 years - durante-mangoni, e; andini, r; agrusta, f; iossa, d; mattucci, i; bernardo, m; utili, r)

1879-0828
durante-mangoni, emanuele
andini, roberto
agrusta, federica
iossa, domenico
mattucci, irene
bernardo, mariano
utili, riccardo
journal article
netherlands
eur j intern med. 2014 sep;25(7):657-61. doi: 10.1016/j.ejim.2014.05.015. epub 2014 jun 19.",10.1016/j.ejim.2014.05.015,6/24/2014,eng,24954705,maybe,brooke,maybe,allison,allison,mushtaq_2,yes,md_2.csv,NA,NA,md_2_1.mex,yes,journal
6221,maybe,feasey2014,article,NA,N A Feasey and A K Cain and C L Msefula and D Pickard and M Alaerts and M Aslett and D B Everett and T J Allain and G Dougan and M A Gordon and R S Heyderman and R A Kingsley,"1080-6059
1080-6040",Emerging Infectious Diseases,"Escherichia coli,Human immunodeficiency virus infected patient,Salmonella enterica serovar Typhimurium,adult,ampicillin,antibiotic sensitivity,bloodstream infection,case report,ceftriaxone,chloramphenicol,ciprofloxacin,cotrimoxazole,fever,genetic analysis,genomic DNA,gentamicin,human,letter,male,multilocus sequence typing,nucleotide sequence,phenotype,phylogenetic tree,salmonellosis,sequence analysis",1957--1959,"{Drug resistance in salmonella enteric ser. Typhimurium bloodstream infection, Malawi}",http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=l600243693 http://dx.doi.org/10.3201/eid2011.141175 http://rd8hp6du2b.search.serialssolutions.com?sid=embase{\&}issn=10806059{\&}id=doi:10.3201{\%}2feid2011.141175{\&}atitle=drug+resistance+in+s,20,2014,11,NA,NA,NA,NA,NA,maybe,brooke,maybe,ayomide,ayomide,mushtaq_2,yes,md_2.csv,NA,NA,md_2_1.mex,yes,journal
4265,yes,correia2012,article,"Ten extended-spectrum $\beta$-lactamase-producing Escherichia coli isolates were detected among 121 fecal samples (8.3{\%}) recovered from hemodialysis patients in Portugal. The isolates harbored the blaCTX-M-15, blaCTX-M-14a, and/or blaCTX-M-1 genes. A new sequence type, ST2229, was detected, and this study also reports, for the first time, ST410 CTX-M-14-producing isolates. {\textcopyright} 2012 Elsevier Inc.",S Correia and R Pacheco and H Radhouani and J C Diniz and P Ponce and D Jones-Dias and M CaniÃ§a and G Igrejas and P Poeta,"0732-8893
1879-0070",Diagnostic Microbiology and Infectious Disease,"Escherichia coli,Portugal,antibiotic sensitivity,article,bacterial gene,bacterial genetics,bacterium detection,bacterium isolate,beta lactamase CTX M,bla CTX M 1 gene,bla CTX M 14a gene,bla CTX M 15 gene,extended spectrum beta lactamase producing Enterob,feces analysis,hemodialysis patient,human,major clinical study,nonhuman,priority journal,replicon,sequence analysis",423--425,{High prevalence of ESBL-producing Escherichia coli isolates among hemodialysis patients in Portugal: Appearance of ST410 with the blaCTX-M-14 gene},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=l52218778 http://dx.doi.org/10.1016/j.diagmicrobio.2012.08.017 http://rd8hp6du2b.search.serialssolutions.com?sid=embase{\&}issn=07328893{\&}id=doi:10.1016{\%}2fj.diagmicrobio.2012.08.017{\&}atit,74,2012,4,NA,NA,NA,NA,NA,yes,cale,yes,ayomide,ayomide,mushtaq_2,yes,md_2.csv,NA,NA,md_2_1.mex,yes,journal
873,maybe,antonov2015,article,"Topical mupirocin is used widely to treat skin and soft tissue infections and to eradicate nasal carriage of methicillin-resistant Staphylococcus aureus (MRSA). Few studies to date have characterized the rates of S. aureus mupirocin resistance in pediatric populations. We retrospectively studied 358 unique S. aureus isolates obtained from 249 children seen in a predominantly out-patient setting by the Division of Pediatric Dermatology at a major academic center in New York City between 1 May 2012 and 17 September 2013. Mupirocin resistance rates and the associated risk factors were determined using a logistic regression analysis. In our patient population, 19.3{\%} of patients had mupirocin-resistant S. aureus isolates at the time of their first culture, and 22.1{\%} of patients with S. aureus infection had a mupirocin-resistant isolate at some time during the study period. Overall, 31.3{\%} of all S. aureus isolates collected during the study period were resistant to mupirocin. Prior mupirocin use was strongly correlated (odds ratio [OR] = 26.5; P = {\textless}0.001) with mupirocin resistance. Additional risk factors for mupirocin resistance included methicillin resistance, atopic dermatitis (AD), epidermolysis bullosa (EB), immunosuppression, and residence in northern Manhattan and the Bronx. Resistance to mupirocin is widespread in children with dermatologic complaints in the New York City area, and given the strong association with mupirocin exposure, it is likely that mupirocin use contributes to the increased resistance. Routine mupirocin testing may be important for MRSA decolonization strategies or the treatment of minor skin infections in children.",N K Antonov and M C Garzon and K D Morel and S Whittier and P J Planet and C T Lauren,0066-4804,Antimicrob Agents Chemother,",Adolescent,Adult,Anti-Bacterial Agents/*pharmacology,Bacterial,Child,Drug Resistance,Female,Humans,Infant,Logistic Models,Male,Microbial Sensitivity Tests,Multiple,Mupirocin/*therapeutic use,Newborn,Preschool,Prevalence,Retrospective Studies,Staphylococcal Infections/*drug therapy/*microbiol,Staphylococcus aureus,Staphylococcus aureus/drug effects/*metabolism,United States,Young Adult,adolescent,adult,antibiotic resistance,article,atopic dermatitis,bacterium culture,bacterium isolate,child,epidermolysis bullosa,female,human,immune deficiency,infant,major clinical study,male,methicillin resistant Staphylococcus aureus,newborn,nonhuman,priority journal,pseudomonic acid,residential area,retrospective study",3350--3356,{High prevalence of mupirocin resistance in Staphylococcus aureus isolates from a pediatric population},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=l604426287 http://dx.doi.org/10.1128/aac.00079-15 http://rd8hp6du2b.search.serialssolutions.com?sid=embase{\&}issn=10986596{\&}id=doi:10.1128{\%}2faac.00079-15{\&}atitle=high+prevalence+of+mupir,59,2015,6,"from duplicate 1 (high prevalence of mupirocin resistance in staphylococcus aureus isolates from a pediatric population - antonov, n k; garzon, m c; morel, k d; whittier, s; planet, p j; lauren, c t)

1098-6596
antonov, nina k
garzon, maria c
morel, kimberly d
whittier, susan
planet, paul j
lauren, christine t
journal article
united states
antimicrob agents chemother. 2015;59(6):3350-6. doi: 10.1128/aac.00079-15. epub 2015 mar 30.",10.1128/aac.00079-15,4/1/2015,eng,25824213,yes,allison,maybe,mushtaq,mushtaq,mushtaq_2,yes,md_2.csv,NA,NA,md_2_1.mex,yes,journal
14500,yes,mshana2011,article,"Enterobacter hormaechei and Cronobacter sakazakii are amongst the most important causes of outbreaks of neonatal sepsis associated with powdered milk. In this study, we report for the first time an outbreak of a novel Enterobacter sp. harbouring blaCTX-M-15 in a neonatal unit in Tanzania. Seventeen Gram-negative enteric isolates from neonatal blood cultures were studied. Antibiotic susceptibility was assessed by disc diffusion testing, and the presence of the blaCTX-M-15 gene was established by polymerase chain reaction (PCR) and sequencing. Isolates were typed by pulsed-field gel electrophoresis (PFGE). Identification by biochemical profiling was followed by nucleotide sequencing of 16S ribosomal DNA (rDNA), rpoB and hsp60 alleles. Environmental sampling was done and control measures were established. Isolates were initially misidentified based on their fermentation characteristics and agglutination as Salmonella enterica serotype Paratyphi. All isolates were resistant to multiple antibiotics, except for ciprofloxacin and carbapenems, and were found to harbour blaCTX-M-15 on a 291-kb narrow-range plasmid. PFGE analysis indicated the clonal outbreak of a single strain, infecting 17 neonates with a case fatality rate of 35{\%}. The same strain was isolated from a milk bucket. Phylogenetic analysis using 16S rDNA, rpoB and hsp60 sequences permitted no definitive identification, clustering the strains in the Enterobacter cloacae complex with similarities of 92-98.8{\%}. The data describe an outbreak of a novel blaCTX-M-15-positive, multiresistant Enterobacter strain in an African neonatal unit that can easily be misidentified taxonomically. These data highlight the need for constant surveillance of bacteria harbouring extended-spectrum $\beta$-lactamases as well as improvements in hygiene measures in developing countries. {\textcopyright} 2011 Elsevier B.V. and the International Society of Chemotherapy.",S E Mshana and L Gerwing and M Minde and T Hain and E Domann and E Lyamuya and T Chakraborty and C Imirzalioglu,"0924-8579

1872-7913",Int J Antimicrob Agents,",*Disease Outbreaks,16S/genetics,Anti-Bacterial Agents/pharmacology,Bacterial Typing Techniques,Blood/microbiology,Chaperonin 60/genetics,Cross Infection/*epidemiology/microbiology,DNA,DNA 16S,DNA-Directed RNA Polymerases/genetics,Electrophoresis,Enterobacter,Enterobacter cloacae,Enterobacter/classification/*enzymology/genetics/i,Enterobacteriaceae Infections/*epidemiology/microb,Enterobacteriaceae infection,Female,Gel,Hospitals,Humans,Infant,Male,Microbial Sensitivity Tests/methods,Molecular Sequence Data,Molecular Typing,Newborn,Pulsed-Field,RNA,RNA polymerase beta subunit gene,Ribosomal,Salmonella enterica serovar Paratyphi C,Sepsis/*epidemiology/microbiology,Sequence Analysis,Tanzania,Tanzania/epidemiology,allele,amoxicillin plus clavulanic acid,ampicillin,antibiotic resistance,antibiotic sensitivity,article,artificial milk,bacterial gene,bacterium identification,bacterium isolate,beta lactamase CTX M 15 gene,beta-Lactamases/*genetics,carbapenem,cefepime,cefotaxime,ceftazidime,ceftriaxone,chloramphenicol,ciprofloxacin,clinical article,controlled study,cotrimoxazole,disk diffusion,epidemic,extended spectrum beta lactamase gene,female,fosfomycin,gene cluster,genetic marker,gentamicin,heat shock protein 60 gene,human,latex agglutination test,male,meropenem,molecular phylogeny,new species,newborn,newborn mortality,nonhuman,nucleotide sequence,polymerase chain reaction,priority journal,pulsed field gel electrophoresis,rifampicin,sepsis,sequence homology,species identification,tetracycline",265--269,{Outbreak of a novel Enterobacter sp. carrying blaCTX-M-15 in a neonatal unit of a tertiary care hospital in Tanzania},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=l51518270 http://dx.doi.org/10.1016/j.ijantimicag.2011.05.009 http://rd8hp6du2b.search.serialssolutions.com?sid=embase{\&}issn=09248579{\&}id=doi:10.1016{\%}2fj.ijantimicag.2011.05.009{\&}atitle,38,2011,3,"from duplicate 1 (outbreak of a novel enterobacter sp. carrying blactx-m-15 in a neonatal unit of a tertiary care hospital in tanzania - mshana, s e; gerwing, l; minde, m; hain, t; domann, e; lyamuya, e; chakraborty, t; imirzalioglu, c)



1872-7913

mshana, stephen e

gerwing, lisa

minde, mercy

hain, torsten

domann, eugen

lyamuya, eligius

chakraborty, trinad

imirzalioglu, can

journal article

research support, non-u.s. gov't

netherlands
