study_id,code_main,code_identifiers,segment_combo,segment,mesh_id,mesh_definitions,mesh_mn,mesh_segment_name_class,mesh_preferred_label,mesh_class,mesh_class_desc,mesh_parent_id_qualifier,mesh_parent_id,mesh_pa_id,mesh_parent_name,mesh_pa_name,mesh_rank
10020,drug resisted,NA,FALSE,ertapenem,c446479,NA,NA,preferred_label,ertapenem,c,supp,NA,d047090,d000900,beta-lactams,anti-bacterial agents,drug name
10020,drug resisted,NA,FALSE,imipenem,d015378,"semisynthetic thienamycin that has a wide spectrum of antibacterial activity against gram-negative and gram-positive aerobic and anaerobic bacteria, including many multiresistant strains. it is stable to beta-lactamases. clinical studies have demonstrated high efficacy in the treatment of infections of various body systems. its effectiveness is enhanced when it is administered in combination with cilastatin, a renal dipeptidase inhibitor.",d02.065.589.099.124.300.500|d03.633.100.300.124.300.500,preferred_label,imipenem,d,desc,NA,d013845,d000900,thienamycins,anti-bacterial agents,drug name
10020,drug resisted,NA,FALSE,fluoroquinolones,d024841,a group of quinolones with at least one fluorine atom and a piperazinyl group.,d03.633.100.810.835.322,preferred_label,fluoroquinolones,d,desc,NA,d015363,d019384,quinolones,nucleic acid synthesis inhibitors,drug group
10020,drug resisted,NA,FALSE,fluoroquinolones,d024841,a group of quinolones with at least one fluorine atom and a piperazinyl group.,d03.633.100.810.835.322,preferred_label,fluoroquinolones,d,desc,NA,d015363,d000900,quinolones,anti-bacterial agents,drug group
10020,drug resisted,NA,FALSE,co-trimoxazole,d015662,"a drug combination with broad-spectrum antibacterial activity against both gram-positive and gram-negative organisms. it is effective in the treatment of many infections, including pneumocystis pneumonia in aids.",d03.383.742.906.500|d26.310.875|d02.065.884.725.867.500|d02.886.590.700.725.867.500|d02.092.146.807.867.500,synonyms,"trimethoprim, sulfamethoxazole drug combination",d,desc,NA,d014295,d000962,trimethoprim,antimalarials,drug name
10020,drug resisted,NA,FALSE,co-trimoxazole,d015662,"a drug combination with broad-spectrum antibacterial activity against both gram-positive and gram-negative organisms. it is effective in the treatment of many infections, including pneumocystis pneumonia in aids.",d03.383.742.906.500|d26.310.875|d02.065.884.725.867.500|d02.886.590.700.725.867.500|d02.092.146.807.867.500,synonyms,"trimethoprim, sulfamethoxazole drug combination",d,desc,NA,d014295,d000900,trimethoprim,anti-bacterial agents,drug name
10020,drug resisted,NA,FALSE,co-trimoxazole,d015662,"a drug combination with broad-spectrum antibacterial activity against both gram-positive and gram-negative organisms. it is effective in the treatment of many infections, including pneumocystis pneumonia in aids.",d03.383.742.906.500|d26.310.875|d02.065.884.725.867.500|d02.886.590.700.725.867.500|d02.092.146.807.867.500,synonyms,"trimethoprim, sulfamethoxazole drug combination",d,desc,NA,d014295,d000892,trimethoprim,"anti-infective agents, urinary",drug name
10020,drug resisted,NA,FALSE,co-trimoxazole,d015662,"a drug combination with broad-spectrum antibacterial activity against both gram-positive and gram-negative organisms. it is effective in the treatment of many infections, including pneumocystis pneumonia in aids.",d03.383.742.906.500|d26.310.875|d02.065.884.725.867.500|d02.886.590.700.725.867.500|d02.092.146.807.867.500,synonyms,"trimethoprim, sulfamethoxazole drug combination",d,desc,NA,d004338,d000962,drug combinations,antimalarials,drug name
10020,drug resisted,NA,FALSE,co-trimoxazole,d015662,"a drug combination with broad-spectrum antibacterial activity against both gram-positive and gram-negative organisms. it is effective in the treatment of many infections, including pneumocystis pneumonia in aids.",d03.383.742.906.500|d26.310.875|d02.065.884.725.867.500|d02.886.590.700.725.867.500|d02.092.146.807.867.500,synonyms,"trimethoprim, sulfamethoxazole drug combination",d,desc,NA,d004338,d000900,drug combinations,anti-bacterial agents,drug name
10020,drug resisted,NA,FALSE,co-trimoxazole,d015662,"a drug combination with broad-spectrum antibacterial activity against both gram-positive and gram-negative organisms. it is effective in the treatment of many infections, including pneumocystis pneumonia in aids.",d03.383.742.906.500|d26.310.875|d02.065.884.725.867.500|d02.886.590.700.725.867.500|d02.092.146.807.867.500,synonyms,"trimethoprim, sulfamethoxazole drug combination",d,desc,NA,d004338,d000892,drug combinations,"anti-infective agents, urinary",drug name
10020,drug resisted,NA,FALSE,co-trimoxazole,d015662,"a drug combination with broad-spectrum antibacterial activity against both gram-positive and gram-negative organisms. it is effective in the treatment of many infections, including pneumocystis pneumonia in aids.",d03.383.742.906.500|d26.310.875|d02.065.884.725.867.500|d02.886.590.700.725.867.500|d02.092.146.807.867.500,synonyms,"trimethoprim, sulfamethoxazole drug combination",d,desc,NA,d013420,d000962,sulfamethoxazole,antimalarials,drug name
10020,drug resisted,NA,FALSE,co-trimoxazole,d015662,"a drug combination with broad-spectrum antibacterial activity against both gram-positive and gram-negative organisms. it is effective in the treatment of many infections, including pneumocystis pneumonia in aids.",d03.383.742.906.500|d26.310.875|d02.065.884.725.867.500|d02.886.590.700.725.867.500|d02.092.146.807.867.500,synonyms,"trimethoprim, sulfamethoxazole drug combination",d,desc,NA,d013420,d000900,sulfamethoxazole,anti-bacterial agents,drug name
10020,drug resisted,NA,FALSE,co-trimoxazole,d015662,"a drug combination with broad-spectrum antibacterial activity against both gram-positive and gram-negative organisms. it is effective in the treatment of many infections, including pneumocystis pneumonia in aids.",d03.383.742.906.500|d26.310.875|d02.065.884.725.867.500|d02.886.590.700.725.867.500|d02.092.146.807.867.500,synonyms,"trimethoprim, sulfamethoxazole drug combination",d,desc,NA,d013420,d000892,sulfamethoxazole,"anti-infective agents, urinary",drug name
10020,drug resisted,NA,FALSE,tobramycin,d014031,"an aminoglycoside, broad-spectrum antibiotic produced by streptomyces tenebrarius. it is effective against gram-negative bacteria, especially the pseudomonas species. it is a 10% component of the antibiotic complex, nebramycin, produced by the same species.",d09.408.051.476.600.800,preferred_label,tobramycin,d,desc,NA,d009328,d000900,nebramycin,anti-bacterial agents,drug name
10020,drug resisted,NA,FALSE,gentamicin,d005839,"a complex antibiotic substance produced by micromonospora purpurea, with three components: gentamicin c1, c2 , and c1a sulfates.|a complex of closely related aminoglycoside bases (e.g., gentamicins c1, c2, and c1(suba)), obtained from micromonospora purpurea and related species.|a complex of closely related aminoglycosides obtained from micromonospora purpurea and related species. they are broad-spectrum antibiotics, but may cause ear and kidney damage. they act to inhibit protein biosynthesis.",d09.408.051.374,synonyms,gentamicins,d,desc,NA,d000617,d011500,aminoglycosides,protein synthesis inhibitors,drug group
