study_id,segment,code_identifiers,code_main,code_identifiers_link,mesh_drug_id,mesh_drug_definitions,mesh_drug_mn,mesh_drug_segment_name_class,mesh_drug_preferred_label,mesh_drug_class,mesh_drug_class_desc,mesh_drug_parent_id,mesh_drug_parent_name,mesh_drug_rank,atc_drug_preferred_label,atc_drug_id,atc_drug_parents_class_ids,atc_drug_rank,atc_drug_parent_name
10020,amoxicillin,a,drug resisted,drug resisted; mic,d000658,a broad-spectrum semisynthetic antibiotic similar to ampicillin except that its resistance to gastric acid permits higher serum levels with oral administration.,d02.065.589.099.750.750.050.050|d02.886.108.750.750.050.050|d03.633.100.300.750.750.050.050,preferred_label,amoxicillin,d,desc,d000667,ampicillin,drug group,amoxicillin,c0002645,j01ca,drug_name,penicillins with extended spectrum
10020,amoxicillin-potassium clavulanate combination,b,drug resisted,drug resisted; mic,d019980,a fixed-ratio combination of amoxicillin trihydrate and potassium clavulanate.,d02.065.589.099.374.160.060|d03.633.100.300.750.750.050.050.500|d02.065.589.099.750.750.050.050.060|d02.886.108.750.750.050.050.060|d03.633.100.300.374.160.060,preferred_label,amoxicillin-potassium clavulanate combination,d,desc,d019818|d000658,clavulanic acid; amoxicillin,drug name,amoxicillin and beta-lactamase inhibitor,c3653015,j01cr,drug_name,"combinations of penicillins, incl. beta-lactamase inhibitors"
10020,cefuroxime,c,drug resisted,drug resisted; mic,d002444,"broad-spectrum cephalosporin antibiotic resistant to beta-lactamase. it has been proposed for infections with gram-negative and gram-positive organisms, gonorrhea, and haemophilus.",d03.633.100.300.249.190.190.165|d02.065.589.099.249.190.190.165|d02.886.665.074.190.190.165,preferred_label,cefuroxime,d,desc,d002439,cefotaxime,drug name,cefuroxime,c0007562,j01dc|s01aa,drug_name,"second-generation cephalosporins; antibiotics, ophthalmologic"
10020,ceftriaxone,d,drug resisted,drug resisted; mic,d002443,"a broad-spectrum cephalosporin antibiotic with a very long half-life and high penetrability to meninges, eyes and inner ears.",d03.633.100.300.249.190.190.155|d02.065.589.099.249.190.190.155|d02.886.665.074.190.190.155,preferred_label,ceftriaxone,d,desc,d002439,cefotaxime,drug name,ceftriaxone,c0007561,j01dd,drug_name,third-generation cephalosporins
10020,ceftazidime,e,drug resisted,drug resisted; mic,d002442,"semisynthetic, broad-spectrum antibacterial derived from cephaloridine and used especially for pseudomonas and other gram-negative infections in debilitated patients.",d03.633.100.300.249.210.150|d02.065.589.099.249.210.150|d02.886.665.074.210.150,preferred_label,ceftazidime,d,desc,d002509,cephaloridine,drug name,ceftazidime,c0007559,j01dd,drug_name,third-generation cephalosporins
10020,gentamicin,f,drug resisted,drug resisted; mic,d005839,"a complex antibiotic substance produced by micromonospora purpurea, with three components: gentamicin c1, c2 , and c1a sulfates.|a complex of closely related aminoglycoside bases (e.g., gentamicins c1, c2, and c1(suba)), obtained from micromonospora purpurea and related species.|a complex of closely related aminoglycosides obtained from micromonospora purpurea and related species. they are broad-spectrum antibiotics, but may cause ear and kidney damage. they act to inhibit protein biosynthesis.",d09.408.051.374,synonyms,gentamicins,d,desc,d000617,aminoglycosides,drug group,gentamicin,c3854019,s01aa|s02aa|d06ax|j01gb|s03aa,drug_name,"antibiotics, ophthalmologic; antiinfectives; other antibiotics for topical use in atc; other aminoglycosides in atc; antiinfectives"
10020,tobramycin,g,drug resisted,drug resisted; mic,d014031,"an aminoglycoside, broad-spectrum antibiotic produced by streptomyces tenebrarius. it is effective against gram-negative bacteria, especially the pseudomonas species. it is a 10% component of the antibiotic complex, nebramycin, produced by the same species.",d09.408.051.476.600.800,preferred_label,tobramycin,d,desc,d009328,nebramycin,drug name,tobramycin,c0040341,s01aa|j01gb,drug_name,"antibiotics, ophthalmologic; other aminoglycosides in atc"
10020,meropenem,h,drug resisted,drug resisted; mic,c059500,NA,NA,preferred_label,meropenem,c,supp,d013845,thienamycins,drug name,meropenem,c0066005,j01dh,drug_name,carbapenems
10020,imipenem,i,drug resisted,drug resisted; mic,d015378,"semisynthetic thienamycin that has a wide spectrum of antibacterial activity against gram-negative and gram-positive aerobic and anaerobic bacteria, including many multiresistant strains. it is stable to beta-lactamases. clinical studies have demonstrated high efficacy in the treatment of infections of various body systems. its effectiveness is enhanced when it is administered in combination with cilastatin, a renal dipeptidase inhibitor.",d02.065.589.099.124.300.500|d03.633.100.300.124.300.500,preferred_label,imipenem,d,desc,d013845,thienamycins,drug name,imipenem and cilastatin,c0071972,j01dh,drug_name,carbapenems
10020,ertapenem,j,drug resisted,drug resisted; mic,c446479,NA,NA,preferred_label,ertapenem,c,supp,d047090,beta-lactams,drug name,ertapenem,c1120106,j01dh,drug_name,carbapenems
