STUDY_ID,INCLUDE,X1,bibtype,abstract,author,isbn,journal,keywords,pages,title,url,volume,year,number,annote,doi,edition,language,pmid,ROUND1INC,ROUND1REV,ROUND2INC,ROUND2REV,REVIEWERS,FT_REV,DOWNLOADED,REASON,NOTES
63,YES,Abid2011,Article,"This study describes the first case of extensively drug-resistant tuberculosis (XDR-TB) in the Thames Valley and South East Region and discuss the public health implications, highlighting the need to integrate current epidemiological knowledge with clinical expertise in order to diagnose drug-resistant tuberculosis (TB) early.The management of the XDR-TB patients is challenging with few treatment options, expensive therapy, side effects of drugs and a longer course of the treatment. {\textcopyright} 2011 King Saud Bin Abdulaziz University for Health Sciences.",M Abid and N McCarthy and L Saldana and T Langham and A McGown and C Conlon and P {de Vena Franks} and L Saldaña and T Langham and A McGown and C Conlon and P {de Vena Franks},"1876-0341
1876-035X",Journal of Infection and Public Health,",*Drug Resistance,Adult,Antitubercular Agents/pharmacology,Bacterial,Contact Tracing/*methods,Extensively Drug-Resistant,Humans,Lithuania,Mass Screening/*methods,Multiple,Mycobacterium tuberculosis,Mycobacterium tuberculosis/classification/drug eff,Population Surveillance,Public Health,Tuberculosis/*diagnosis/epidemiology/microbiology/,United Kingdom,United Kingdom/epidemiology,Young Adult,adult,aminosalicylic acid,antibiotic therapy,article,bacterium culture,case report,clarithromycin,clinical protocol,clofazimine,contact examination,cycloserine,drug withdrawal,ethambutol,extensively drug resistant tuberculosis,follow up,gamma interferon,hospital discharge,human,immunoassay,isoniazid,kanamycin,length of stay,linezolid,mass screening,moxifloxacin,ofloxacin,periodic medical examination,priority journal,protionamide,public health,public health service,pyrazinamide,relative,retreatment,rifampicin,streptomycin,thorax radiography,tuberculin test,tuberculosis control,variable number of tandem repeat",207--210,"{Extensively drug-resistant tuberculosis case in the Thames Valley, UK and public health interventions}",http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=L51616649 http://dx.doi.org/10.1016/j.jiph.2011.06.003 http://rd8hp6du2b.search.serialssolutions.com?sid=EMBASE{\&}issn=18760341{\&}id=doi:10.1016{\%}2Fj.jiph.2011.06.003{\&}atitle=Extensively+d,4,2011,4,"From Duplicate 2 (Extensively drug-resistant tuberculosis case in the Thames Valley, UK and public health interventions - Abid, M; McCarthy, N; Saldana, L; Langham, T; McGown, A; Conlon, C; de Vena Franks, P)

1876-035x
Abid, Muhammad
McCarthy, Noel
Saldana, Luisa
Langham, Tracey
McGown, Anne
Conlon, Christopher
de Vena Franks, Pablo
Case Reports
Journal Article
England
J Infect Public Health. 2011 Sep;4(4):207-10. doi: 10.1016/j.jiph.2011.06.003. Epub 2011 Sep 13.",10.1016/j.jiph.2011.06.003,10/18/2011,eng,22000849,YES,Cale,YES,Zach,Zach,Zach,yes,,
274,YES,Ahmed2016a,Article,"Background: It is important and rather need of the hour to unravel the risk of antimicrobial resistance from a public health perspective in high burden countries such as India. The clinical significance of isolating multi-drug resistant (MDR) E. coli from hospitalized patients merits sustained attention. The objective of this study was to describe the evolution of antibiotic resistance and to gather evidence on spread of antimicrobial resistance by clonal expansion of clinical E. coli lineages. Methods {\&} Materials: A collection of 426 E. coli isolates was analysed as three subsequent batches from two tertiary care hospitals in India. The isolates were characterized by ERIC-based fingerprinting, O typing, phylogenetic grouping, MLST, virulence profiling, phenotypic and genotypic antimicrobial resistance analysis and whole genome sequence (WGS) analysis. Our integrated data were representative of a larger study aimed at understanding transmission dynamics, population genetic structure and shaping of antimicrobial resistance mechanisms in extraintestinal pathogenic E. coli (ExPEC). Results: We found that the resistance to unrelated antimicrobials is rapidly emerging in the form of ESBL-MDR phenotypes (58{\%}). The molecular epidemiology of antimicrobial resistance has undergone a rapid change over the course of our study with increase in ESBL, MDR and MBL rates from 31{\%}, 50{\%} and 0{\%} to 86{\%}, 95{\%} and 28{\%} respectively, as observed among the isolates studied in 2009 and 2012. Also the faecal E. coli isolates (37{\%}) exhibited the acquisition of new ESBL variants such as CTX-M-15 instead of the classical TEM and SHV types. Phylogenetic analysis revealed that groups B2 and A were prevalent among clinical E. coli isolates (49{\%} and 27{\%} respectively). REP-PCR, MLST and PFGE analyses suggest that ExPEC strains are undergoing a sub-clonal evolution as demonstrated by the identification of ST131 E. coli in our collection (42{\%}). E. coli ST131 was initially identified to be linked to the spread of fluoroquinolone resistance and CTX-M-15 extended-spectrum $\beta$- lactamase (ESBL) production. Alarmingly, ST131 strains harbouring NDM-1 (1.5{\%}) carbapenem resistance were also identified. Conclusion: This study suggests that clinical E. coli from India are strongly associated with CTX-M-15 enzyme and are clonally evolving with a potential for newer acquisitions and wide spread dissemination of antimicrobial resistance genes.",N Ahmed,1201-9712,International Journal of Infectious Diseases,"Escherichia coli,India,antibiotic resistance,antiinfective agent,carbapenem,clonal evolution,enzyme,extended spectrum beta lactamase,extraintestinal pathogenic Escherichia coli,gene,genome,hospital patient,human,infection,molecular epidemiology,penicillinase,phenotype,phylogeny,population dynamics,population genetic structure,public health,risk,sequence analysis,tertiary care center,virulence",210,"{Tracking the emergence of multidrug resistant, extraintestinal pathogenic Escherichia coli in India}",http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=L72245432 http://dx.doi.org/10.1016/j.ijid.2016.02.479 http://rd8hp6du2b.search.serialssolutions.com?sid=EMBASE{\&}issn=12019712{\&}id=doi:10.1016{\%}2Fj.ijid.2016.02.479{\&}atitle=Tracking+the+,45,2016,NA,NA,NA,NA,NA,NA,YES,Allison,YES,Nchedo,Nchedo,Zach,yes,,
375,MAYBE,Al-Agamy2013,Article,"We characterized nine carbapenem-resistant Klebsiella pneumoniae collected over 9 months during 2011 in Riyadh; 8 from Hospital A and 1 from Hospital B. Variable number tandem repeat (VNTR) defined three strains at Hospital A, each with 2 or 3 representatives recovered from separate patients over periods of 6-24 weeks; 2 strains had OXA-48 and 1 had NDM. The single isolate from Hospital B also had OXA-48 but was distinct by VNTR from the Hospital A strains. Two strains with OXA-48 were colistin resistant; the third included a colistin-resistant representative from a colistin-treated patient. {\textcopyright} 2013 Elsevier Inc.",M H Al-Agamy and A M Shibl and N A Elkhizzi and D Meunier and J F Turton and D M Livermore,"0732-8893
1879-0070",Diagnostic Microbiology and Infectious Disease,"Klebsiella pneumoniae,Saudi Arabia,amikacin,antibiotic resistance,antibiotic sensitivity,article,aztreonam,bacteremia,bacterial strain,bacterium isolate,beta lactam antibiotic,beta lactamase,beta lactamase CTX M,beta lactamase SHV,carbapenem,carbapenemase,carbapenemase NDM,carbapenemase OXA 48,cefotaxime,cefoxitin,ceftazidime,ciprofloxacin,clavulanic acid,colistin,enzyme activity,ertapenem,gentamicin,human,imipenem,meropenem,minimum inhibitory concentration,minocycline,molecular cloning,nonhuman,phenotype,piperacillin,priority journal,temocillin,tigecycline,tobramycin,unclassified drug,variable number of tandem repeat",214--216,{Persistence of Klebsiella pneumoniae clones with OXA-48 or NDM carbapenemases causing bacteraemias in a Riyadh hospital},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=L52495328 http://dx.doi.org/10.1016/j.diagmicrobio.2013.02.006 http://rd8hp6du2b.search.serialssolutions.com?sid=EMBASE{\&}issn=07328893{\&}id=doi:10.1016{\%}2Fj.diagmicrobio.2013.02.006{\&}atit,76,2013,2,NA,NA,NA,NA,NA,MAYBE,Brooke,NO,Ayomide,Allison,Zach,yes,,
420,YES,Al-Sweih2011,Article,"The development of resistance is a compelling reason for reviewing administration of antibiotics. Recently, most Acinetobacter infections are caused by multidrug-resistant (MDR) strains which have necessitated the use of tigecycline or colistin. This study was undertaken to determine the susceptibility of Acinetobacter spp. to these and other drugs. A total of 250 Acinetobacter isolates were collected from the 8 government hospitals over a period of 6 months. Susceptibility to 18 antibiotics, including tigecycline and colistin, was investigated by determining their minimum inhibitory concentrations using E test. Of the 250 isolates, 13.6{\%} and 12{\%} were resistant to tigecycline and colistin. A total of 25.2{\%} and 37.2{\%} were resistant to imipenem and meropenem, respectively. Of the 250 isolates 88.4{\%} were MDR. This relatively high prevalence of tigecycline and colistin-resistant isolates indicates an emerging therapeutic problem which may severely compromise the treatment of MDR Acinetobacter spp. infections in Kuwait.",N A Al-Sweih and M A Al-Hubail and V O Rotimi,1120-009x,J Chemother,"Acinetobacter Infections/drug therapy/*microbiolog,Acinetobacter baumannii/drug effects/isolation {\&} p,Acinetobacter/*drug effects/isolation {\&} purificati,Anti-Bacterial Agents/*pharmacology,Colistin/*pharmacology,Drug Resistance, Multiple, Bacterial,Hospitals,Humans,Imipenem/pharmacology,Kuwait,Microbial Sensitivity Tests,Minocycline/*analogs {\&} derivatives/pharmacology,Thienamycins/pharmacology",13--16,{Emergence of tigecycline and colistin resistance in Acinetobacter species isolated from patients in Kuwait hospitals},NA,23,2011,1,"1973-9478
Al-Sweih, N A
Al-Hubail, M A
Rotimi, V O
Journal Article
Research Support, Non-U.S. Gov't
England
J Chemother. 2011 Feb;23(1):13-6.",10.1179/joc.2011.23.1.13,4/13/2011,eng,21482488,MAYBE,Cale,YES,Ayomide,Ayomide,Zach,yes,,
471,YES,Alcides2007a,Article,"A total of 35 Brazilian isolates of Clostridium difficile from faecal stools and four isolates from hospital environments were analyzed by PCR ribotyping. A whole cell protein profile (as an alternative for serogrouping), in vitro toxin production and susceptibility to vancomycin, metronidazole and clindamycin were also investigated. All strains were typeable by both phenotypic and genotypic methods, and a total of 13 different PCR ribotypes were identified, of which seven (132, 133, 134, 135, 136, 142 and 143) were considered new types and accounted for 78.5{\%} of all samples evaluated (including hospital environments). A non-toxigenic C. difficile PCR ribotype 133 was detected in all children groups examined (inpatients, outpatients and healthy children), whilst toxigenic PCR ribotypes 015, 131, 134 and 135 were associated mostly with symptomatic children. Serogroups G and D were disseminated both in patients from the community and from the pediatric hospital, with group G prevalent among outpatient children. All strains were susceptible to vancomycin and metronidazole but high levels of resistance to clindamycin were found, especially among serogroups G and D. Co-existence of different ribotypes and serogroups in the same individual was observed. The new seven ribotypes found in this investigation may represent strains characteristic of this region of Brazil.",A P Alcides and J S Brazier and L J Pinto and I T Balassiano and R F Boente and G R {de Paula} and E O Ferreira and K E Avelar and K R Miranda and M C Ferreira and R M Domingues,"0003-6072 (Print)
0003-6072",Antonie Van Leeuwenhoek,"Brazil,Child,Child, Preschool,Clindamycin/pharmacology,Clostridium difficile/classification/drug effects/,Electrophoresis, Polyacrylamide Gel,Enterocolitis, Pseudomembranous/*microbiology,Humans,Infant,Metronidazole/pharmacology,Microbial Sensitivity Tests,Polymerase Chain Reaction,Ribotyping/*methods,Vancomycin/pharmacology",53--59,{New PCR ribotypes of Clostridium difficile detected in children in Brazil: prevalent types of Clostridium difficile in Brazil},NA,92,2007,1,"Alcides, Ana P P
Brazier, Jon S
Pinto, Leandro J F
Balassiano, Ilana T
Boente, Renata F
de Paula, Geraldo R
Ferreira, Eliane O
Avelar, Katia E S
Miranda, Karla R
Ferreira, M Candida S
Domingues, Regina M C P
Journal Article
Research Support, Non-U.S. Gov't
Netherlands
Antonie Van Leeuwenhoek. 2007 Jul;92(1):53-9. Epub 2007 Jan 25.",10.1007/s10482-006-9134-2,1/26/2007,eng,17252315,MAYBE,Brooke,YES,Nchedo,Nchedo,Zach,yes,,
743,MAYBE,Amsaveni2010,Article,"Drug resistance in Pseudomonas aeruginosa is rapidly increasing in hospitalized patients. A prospective study on various clinical isolates, from patients admitted from various parts of Coimbatore was conducted to ascertain the prevalence of Pseudomonas aeruginosa infection. Prevalence of drug resistant isolates was estimated by screening with anti-pseudomonal antibiotics, genderwise and hospital wardwise. Among 750 samples processed 95 were confirmed for Pseudomonas aeruginosa. The highest rate of infection due to Pseudomonas aeruginosa was observed in ICU's and general internal ward. Genderwise prevalence showed 62{\%} males and 37{\%} females were infected by Pseudomonas aeruginosa. The highest percentage of Pseudomonas aeruginosa isolates were observed in pus (40{\%}) and urine (32{\%}) samples. The results showed that antimicrobial resistance among Pseudomonas aeruginosa has increased for most anti-pseudomonal agents, such as amoxyclave(96.84{\%}), ceftriaxone(95{\%}), ceftazidime (71{\%}) and ticarrillin (76{\%}). Amikacin, azithromycin, ciprofloxacin, meropenem, tobramycin, piperacillin and gentamycin are the drugs of choice for treatment, but in the near future the antimicrobial agents may lose their efficacy because of the spread of resistant organism due to indiscriminate use of antibiotics, lack of awareness, patient noncompliance and unhygienic conditions. Etiologic shifts in nosocomial infections and an upsurge of antimicrobial resistance among these pathogens are impressive and alarming. Continued local surveillance studies are urged to monitor emerging antimicrobial resistance and to guide interventions to minimize its occurrence. {\textcopyright} Global Science Publications.",V Amsaveni and S S Sudha,0972-3005,"Asian Journal of Microbiology, Biotechnology and Environmental Sciences","Pseudomonas aeruginosa,Pseudomonas infection,amikacin,amoxicillin plus clavulanic acid,antibiotic resistance,article,awareness,azithromycin,bacterial strain,bacterium isolation,ceftazidime,ceftriaxone,ciprofloxacin,drug efficacy,female,gentamicin,hospital infection,human,hygiene,intensive care unit,major clinical study,male,meropenem,minimum inhibitory concentration,multidrug resistance,nonhuman,patient compliance,piperacillin,prevalence,pus,screening,sex difference,ticarcillin,tobramycin,urinalysis,ward",759--763,{Prevalence of multidrug resistant pseudomonas aeruginosa in hospital wards},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=L361486401 http://rd8hp6du2b.search.serialssolutions.com?sid=EMBASE{\&}issn=09723005{\&}id=doi:{\&}atitle=Prevalence+of+multidrug+resistant+pseudomonas+aeruginosa+in+hospital+wards{\&}stitle=Asi,12,2010,4,NA,NA,NA,NA,NA,MAYBE,Brooke,MAYBE,Nchedo,Nchedo,Zach,no,could not get full-text access through Emory,
1405,YES,Balkhy2012,Article,"The purpose of this investigation was to describe the first documented carbapenem-resistant Klebsiella pneumoniae (CRKP) outbreak in a tertiary care facility in Saudi Arabia. We initiated a prospective study to follow all cases of CRKP as well as the active surveillance of patients in areas where cases were identified. We also conducted a retrospective review of the microbiology database for any missed cases of CRKP. Pulsed field gel electrophoresis (PFGE) was conducted for the available CRKP isolates. During March 2010, a cluster of eight CRKPs was detected primarily in the adult intensive care unit (ICU). Patients with CRKPs were put under strict contact isolation, along with appropriate infection control measures. A retrospective review of K. pneumoniae isolates over the previous 6 months revealed two more CRKPs. The PFGE results during the outbreak period showed that the majority of strains were genetically indistinguishable or closely related. The majority of patients had prolonged hospital stay (91{\%}), indwelling devices (81{\%}), surgical procedures (74{\%}), carbapenem use (62{\%}), and colonization/infection with other multiple drug-resistant organisms (MDROs) (57{\%}). Two-fifths of patients with CRKP had clinical infection and 38{\%} died during the current hospitalization. Contact isolation, hand hygiene, environmental cleaning, and staff education may control CRKP outbreak in the acute care setting, but did not prevent endemicity.",H H Balkhy and A El-Saed and S M {Al Johani} and C Francis and A A Al-Qahtani and M N Al-Ahdal and H T Altayeb and Y Arabi and A Alothman and M Sallah,0934-9723,Eur J Clin Microbiol Infect Dis,"*Disease Outbreaks,*beta-Lactam Resistance,Adolescent,Adult,Aged,Aged, 80 and over,Anti-Bacterial Agents/*pharmacology,Carbapenems/*pharmacology,Cluster Analysis,Cross Infection/*epidemiology/microbiology/mortali,Electrophoresis, Gel, Pulsed-Field,Female,Genotype,Humans,Infection Control/methods,Intensive Care Units,Klebsiella Infections/*epidemiology/microbiology/m,Klebsiella pneumoniae/classification/*drug effects,Male,Middle Aged,Molecular Typing,Prospective Studies,Retrospective Studies,Risk Factors,Saudi Arabia/epidemiology,Survival Analysis,Tertiary Care Centers,Young Adult,purification",1901--1909,{The epidemiology of the first described carbapenem-resistant Klebsiella pneumoniae outbreak in a tertiary care hospital in Saudi Arabia: how far do we go?},NA,31,2012,8,"1435-4373
Balkhy, H H
El-Saed, A
Al Johani, S M
Francis, C
Al-Qahtani, A A
Al-Ahdal, M N
Altayeb, H T
Arabi, Y
Alothman, A
Sallah, M
Journal Article
Research Support, Non-U.S. Gov't
Germany
Eur J Clin Microbiol Infect Dis. 2012 Aug;31(8):1901-9. doi: 10.1007/s10096-011-1519-0. Epub 2012 Jan 13.",10.1007/s10096-011-1519-0,1/13/2012,eng,22237459,YES,Brooke,YES,Erica,Erica,Zach,yes,,
1413,MAYBE,Ballal2010,Article,NA,M Ballal and B Raju and S Martena and S Sarkar and I Bairy,0196-4399,Clinical Microbiology Newsletter,"India,Vibrio fluvialis,abdominal pain,aged,amikacin,amoxicillin plus clavulanic acid,ampicillin,anamnesis,antibiotic resistance,antibiotic sensitivity,antibiotic therapy,article,cancer center,case report,cefotaxime,ceftazidime,ciprofloxacin,cotrimoxazole,diarrhea,doxycycline,drug substitution,drug withdrawal,dysphagia,gastrointestinal biopsy,gastrointestinal endoscopy,gentamicin,human,immunocompromised patient,laboratory test,levofloxacin,male,microbiological examination,nalidixic acid,norfloxacin,outcome assessment,outpatient department,physical examination,squamous cell carcinoma,tetracycline,vibriosis",103--104,"{Vibrio fluvialis from an immunocompromised patient in Manipal, South India}",http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=L359347864 http://dx.doi.org/10.1016/j.clinmicnews.2010.06.002 http://rd8hp6du2b.search.serialssolutions.com?sid=EMBASE{\&}issn=01964399{\&}id=doi:10.1016{\%}2Fj.clinmicnews.2010.06.002{\&}atitl,32,2010,13,NA,NA,NA,NA,NA,MAYBE,Cale,NO,Erica,Ayomide,Zach,no,could not get full-text access through Emory,
1817,MAYBE,Beirao2011,Article,"In 2008 isolates of KPC-producing Klebsiella pneumoniae (KPC-KPN) were detected for the first time at Hospital Heliopolis, Sao Paulo, Brazil. The aim of this study was to characterize the clinical and microbiological outcomes of infections caused by KPC-KPN. A historical cohort of patients from whom KPC-KPN strains were isolated was performed. Isolates were identified as resistant to ertapenem by automated broth microdilution system and screened as carbapenemase producers by the modified Hodge test. The beta-lactamase resistance gene blaKPC was detected by PCR. The genetic relatedness of isolates was determined by PFGE. The study provides early clinical experience in treating KPC-KPN infections in a Brazilian tertiary center.",E M Beirao and J J Furtado and R Girardello and H {Ferreira Filho} and A C Gales,1413-8670,Braz J Infect Dis,"Aged,Aged, 80 and over,Anti-Bacterial Agents/*pharmacology,Bacterial Proteins/*biosynthesis,Brazil,Female,Humans,Klebsiella Infections/*microbiology,Klebsiella pneumoniae/drug effects/*enzymology/gen,Male,Microbial Sensitivity Tests,Middle Aged,beta-Lactamases/*biosynthesis",69--73,{Clinical and microbiological characterization of KPC-producing Klebsiella pneumoniae infections in Brazil},NA,15,2011,1,"1678-4391
Beirao, Elisa Maria
Furtado, Juvencio Jose Duailibe
Girardello, Raquel
Ferreira Filho, Heli
Gales, Ana Cristina
Case Reports
Journal Article
Brazil
Braz J Infect Dis. 2011 Jan-Feb;15(1):69-73.",NA,3/18/2011,eng,21412593,YES,Cale,NO,Mushtaq,Zach,Zach,yes,,
2302,YES,Bogaerts2012,Article,"Objectives: To characterize a new VIM-2-derived variant, VIM-31, detected in carbapenem-non suceptible (CNSE) Enterobacter cloacae (Eclo11236) isolated in a Belgian hospital. Methods: Antimicrobial susceptibility testing was performed by Etest and microdilution according to CLSI guidelines. Resistance genes and their genetic environment were characterized by Check-points CT102 array and by PCR-sequencing. Plasmids were extracted by Kieser method, typed by PCR-based replicon typing and transferred by mating-out assays and transformation. VIM-31 was cloned in pET-28a and purified by ion-exchange chromatography and gel filtration. Kinetic parameters of VIM-31 were determined against various beta-lactams and a 3D homology model was constructed using EsyPred3D server. Results: A CNSE isolate (Eclo11236) was recovered from several blood cultures of an 87-year old female who underwent colectomy for intestinal adenocarcinoma and who subsequently developed a rectovaginal fistula and secondary peritonitis. Eclo11236 was intermediately susceptible to imipenem (IMI) (MIC = 3 $\mu$g/mL) and resistant to ertapenem (MIC = 6 $\mu$g/mL) while remaining susceptible to meropenem (MIC = 0.5 $\mu$g/mL), aztreonam, tigecycline, amikacin and ciprofloxacin. The presence of an MBL in this isolate was evidenced by a positive double disc synergy test with imipenem (IMI) and EDTA; the patient gradually improved following treatment with ciprofloxacin, but she remained persistently colonized with the same Eclo11236 in urine. PCR-sequencing revealed a new blaVIM-31 allele coding two Tyr224His and His252Arg mutations in comparison to VIM-2 and located upstream to aacA4' gene in a class 1 integron (In669) carried on a 42-kb not-typeable but transferable plasmid. VIM-31 presents a broad-spectrum activity, affecting all beta-lactam compounds except aztreonam. Comparatively to VIM-2, VIM-31 exhibits a lower catalytic activity (lower kcat and higher Km values) against beta-lactams with kcat/Km ratios ranging from 4.5 (ceftazidime), 900 (ampicillin), 1900 (cefotaxime) to 2400/mM/s (imipenem). Conclusion: We described here a new VIM-31 variant with 2 point mutations leading to modifications of its catalytic properties in comparison to VIM-2. The fact that this VIM-31-expressing E. cloacae isolate was detected in a patient who had not traveled abroad and who remained colonized after hospital discharge underlines the risk of silent spread of CNSE in the community.",P Bogaerts and C Bebrone and W Bouchahrouf and T D Huang and Y DeGheldre and K Hoffman and Y Glupczynski,1198-743X,Clinical Microbiology and Infection,"Enterobacter cloacae,adenocarcinoma,allele,amikacin,ampicillin,antibiotic sensitivity,assay,aztreonam,beta lactam,blood culture,carbapenem,cefotaxime,ceftazidime,ciprofloxacin,colon resection,community,edetic acid,environment,epsilometer test,ertapenem,female,gel filtration,gene,hospital,hospital discharge,human,imipenem,infection,integron,ion exchange chromatography,kinetics,mating,meropenem,microbiology,model,mutation,patient,peritonitis,pet animal,plasmid,point mutation,rectovaginal fistula,replicon,risk,tigecycline,urine",312,{Detection and characterisation of a new VIM-31 variant in Enterobacter cloacae},http://www.embase.com/search/results?subaction=viewrecord{\&}from=export{\&}id=L70822966 http://dx.doi.org/10.1111/j.1469-0691.2012.03802.x http://rd8hp6du2b.search.serialssolutions.com?sid=EMBASE{\&}issn=1198743X{\&}id=doi:10.1111{\%}2Fj.1469-0691.2012.03802.x{\&}atitle=D,18,2012,NA,NA,NA,NA,NA,NA,MAYBE,Cale,YES,Zach,Zach,Zach,yes,,
