geocode_loc,lon,lat
"new delhi, india",77.2090212,28.6139391
"california, united states",-119.4179324,36.778261
"samsung medical center, seoul, south korea",127.0855952,37.4881568
nigeria,8.675277,9.081999
"paul brousse hospital, france",2.3636751,48.7948463
"laiko general hospital, athens, greece",23.7653281,37.9833861
united states,-95.712891,37.09024
"honolulu, hawaii, united states",-157.8583333,21.3069444
japan,138.252924,36.204824
india,78.96288,20.593684
"pune, india",73.8567437,18.5204303
"public hospital, kafr el-sheikh city, egypt",30.9426713,31.1165211
"seoul, south korea",126.9779692,37.566535
thailand,100.992541,15.870032
egypt,30.802498,26.820553
"university hospital (tertiary hospital in bratislava, slovakia), bratislava, slovakia",17.1521074,48.1549942
"university hospital, bratislava, slovakia",17.1172786,48.15077369999999
"toronto, ontario, canada",-79.3831843,43.653226
"ontario, canada",-85.323214,51.253775
canada,-106.346771,56.130366
tunisia,9.537499,33.886917
taiwan,120.960515,23.69781
new jersey,-74.4056612,40.0583238
congo,21.758664,-4.038333
"quebec, canada",-73.5491361,52.9399159
"s. maria degli angeli regional hospital, pordenone, italy",12.6528061,45.9680876
"johannesburg, south africa",28.0473051,-26.2041028
"hangzhou, china",120.15507,30.274084
china,104.195397,35.86166
"beijing, china",116.4073963,39.90419989999999
"saint louis, senegal",-16.4818167,16.0326307
"houston methodist hospital, houston, texas, united states",-95.3996829,29.7107772
"hospital pasteur of montevideo, montevideo, uruguay",-56.138406,-34.8750846
"medical university of bialystok, bialystok, poland",23.1653094,53.13058119999999
"jawaharlal institute of postgraduate  medical education and research (jipmer), puducherry, india",79.7996963,11.9503023
"hospital de niños ―j.m de los ríos‖, caracas, venezuela",-66.89958469999999,10.5068404
"the ‘sanatorio mautone’, punta del este, uruguay",-54.9620056,-34.9142712
"são paulo, brazil",-46.63330939999999,-23.5505199
"calgary, alberta, canada",-114.0708459,51.0486151
"university of virginia medical center (uvamc), charlottesville, virginia, united states",-78.501032,38.0319019
"vmmc and associated safdarjung hospital, delhi, india",77.2031046,28.569075
"manali, india",77.1887145,32.2396325
france,2.213749,46.227638
ireland,-7.692053599999999,53.1423672
"st. louis, missouri",-90.19940419999999,38.6270025
"western province, papua new guinea",142.3613378,-7.584644
"universidade federal, são paulo, brazil",-46.6278675,-23.7193221
"hôpital timone, marseille, france",5.40274,43.291719
"university hospital a coruña, a coruña, spain",-8.388385099999999,43.3441977
"rio de janeiro, brazil",-43.1728965,-22.9068467
"lihir medical center, lihir island, papua new guinea",152.6290689,-3.0676778
"sfax habib bourguiba hospital, sfax, tunisia",10.7482127,34.7402677
"islamabad, pakistan",73.04788479999999,33.6844202
italy,12.56738,41.87194
"osaka, japan",135.5021651,34.6937378
"vancouver, british  columbia, canada",-123.1207375,49.2827291
"buenaventura, colombia",-77.01972119999999,3.8830471
kanto,-97.37190299999999,27.705549
"american university of beirut medical center, beirut, lebanon",35.486152,33.897885
"jikei university hospital, tokyo, japan",139.7515282,35.6636096
"tel aviv medical center, israel",34.7647153,32.0720466
"saint michael’s medical center, newark, new jersey, united states",-74.17456800000001,40.74393
"casamance hospital, marseille, france",5.5311109,43.2762106
"university hospital centre split, split, croatia",16.4579764,43.5037301
"institute for mother and child healthcare, belgrade, serbia",20.4029235,44.83191739999999
"university hospital limerick (uhl), limerick, ireland",-8.653955,52.6352017
"hospital infantil de méxico federico gómez (himfg), mexico city, méxico",-99.1520204,19.410614
"hus, finland",24.922504,60.1810951
denmark,9.501785,56.26392
"aglaia kyriakou pediatric hospital, athens",23.7678473,37.9852228
"“iatrikon athinon” medical center, athens, greece",23.7275388,37.9838096
"pretoria, gauteng, south africa",28.2292712,-25.7478676
"university of pittsburgh medical center, pittsburgh, pennsylvania, united states",-79.961006,40.4425937
"havana, cuba",-82.3665956,23.1135925
"paraná, brazil",-52.0215415,-25.2520888
"kuala lumpur hospital, malaysia",101.70181,3.1715251
"rabat, morocco",-6.8498129,33.9715904
"aga khan university hospital, nairobi, kenya",36.824348,-1.2616306
"vogroño, spain",-3.74922,40.46366700000001
iran,53.688046,32.427908
"government hospital of kobbe, tripoli, lebanon",35.8602605,34.4374228
"jss medical college, mysore, india",76.652721,12.3444424
australia,133.775136,-25.274398
"jawaharlal nehru medical college, aligarh, india",78.0857405,27.918604
spain,-3.74922,40.46366700000001
"clinical hospital center zagreb, croatia",15.9855239,45.8191725
rio de janeiro,-43.1728965,-22.9068467
"rajamundry, andhra pradesh, india",81.8040345,17.0005383
"rochester, minnesota",-92.4801989,44.0121221
"medical hospital of tokyo medical and dental university, japan",139.7643633,35.7014296
norway,8.468945999999999,60.47202399999999
"military hospital of constantine, constantine, algeria",6.6116171,36.3700086
"university hospital of annaba, annaba, algeria",7.765345499999999,36.902826
"children ward of the military hospital, rawalpindi, pakistan",73.0430098,33.5937311
"hospital nossa  senhora da conceição, tubarão, santa catarina, brazil",-49.00294,-28.4804845
israel,34.851612,31.046051
"alexandra hospital, united kingdom",-1.9129407,52.280084
"bournemouth hospital, bournemouth, united kingdom",-1.820774,50.745682
"the hospital clínico ‘lozano blesa’, zaragoza, spain",-0.9033678999999999,41.6434171
"university hospital, san antonio, texas",-98.5780561,29.508196
"tehran, iran",51.3889736,35.6891975
"georgia, united states",-82.9000751,32.1656221
"walter reed army medical center (wramc), washington, dc, united states",-77.028746,38.976559
"chonbuk national university hospital, jeonju, south korea",127.141001,35.846885
"michigan, united states",-85.60236429999999,44.3148443
"manerbio, italy",10.140792,45.3534331
"the hospital clinic of barcelona, barcelona, spain",2.1522994,41.3895158
"hospital clinic of barcelona, barcelona, spain",2.1522994,41.3895158
"kafr el-sheikh, egypt",30.9419751,31.1063198
"hoˆpital central de l’arme´e of algiers, algiers, algeria",3.0494823,36.794825
"tribhuvan university teaching hospital, kathmandu, nepal",85.3302641,27.7360022
"bushehr, iran",50.820314,28.9233837
"milad hospital, tehran, iran",51.3814979,35.745565
"porto alegre, brazil",-51.2176584,-30.0346471
"andaman islands, india",92.6586401,11.7400867
"brampton, ontario, canada",-79.7624177,43.7315479
"sofia, bulgaria",23.3218675,42.6977082
"university hospital complex of santiago de compostela, santiago de compostela, spain",-8.565451900000001,42.8690532
"serres general hospital, serres, greece",23.5822707,41.0901159
austria,14.550072,47.516231
"veldhoven, the netherlands",5.4060209,51.4176337
"amsterdam, netherlands",4.9035614,52.3679843
"besançon hospital, besançon, france",5.9611985,47.22530159999999
"charleston, south carolina, united states",-79.93105120000001,32.7764749
"public hospital, beijing, china",116.404743,39.9224518
"dron hospita, tourcoing, france",3.1801727,50.7441021
"new york, united states",-74.0059728,40.7127753
"brussels, belgium",4.3517211,50.8503463
"the first affiliated hospital of anhui medical university, china",117.268745,31.84583099999999
"orebro, sweden",15.2134105,59.2752626
"kasr al aini hospita, cairo, egypt",31.2286221,30.0318766
", parana´, brazil",-52.0215415,-25.2520888
"university hospital, austria",14.30545,48.3032098
"peking university first hospital, china",116.380416,39.931765
"guangzhou women and children’s, guangzhou, china",113.320116,23.124263
"kuala lumpur hospital, kuala lumpur, malaysia",101.70181,3.1715251
"paris, france",2.3522219,48.856614
"mid-western regional hospital, limerick, ireland",-8.653955,52.6352017
"department of infection control and prevention, tokyo medical university hospital, tokyo, japan",139.6915648,35.6934407
"brampton civic hospital campus (bch), brampton, ontario, canada",-79.7440096,43.7463347
"trousseau hospital, paris, france",2.4054147,48.8425755
bulgaria,25.48583,42.733883
"edmonton, alberta, canada",-113.4909267,53.544389
palestine,35.233154,31.952162
jamaica,-77.297508,18.109581
"atlanta, georgia, united states",-84.3879824,33.7489954
south korea,127.766922,35.907757
"hospital universitario ramón y cajal, madrid, spain",-3.694557,40.4876812
"i.r.c.c.s. fondazione s. maugeri in pavia, pavia, italy",9.1414788,45.2031643
"air force general hospital, pla",NA,NA
rome,12.4963655,41.9027835
"ohio, united states",-82.90712300000001,40.4172871
"mount hope, trinidad and tobago",-61.4227551,10.6467643
"mato grosso do sul, brazil",-54.7851531,-20.7722295
greece,21.824312,39.074208
"guangzhou, china",113.264385,23.12911
"tripoli, north lebanon, lebanon",35.8361633,34.4345947
"peking university first hospital, beijing, china",116.380416,39.931765
"al-shifa hospital, gaza, palestine",34.4429111,31.5243735
"ew york methodist hospital, ny, united states",-73.9791231,40.6678679
"st. luke’s medical center global city, philippines",121.0232333,14.6225309
"riyadh military hospital, saudi arabia",46.7151211,24.6923351
"massa, italy",10.1393221,44.03544369999999
"christchurch hospital, new zealand",172.625825,-43.534003
"ramo´n y cajal university hospital, madrid, spain",-3.694557,40.4876812
"modena university hospital, modena, italy",10.9425871,44.6354895
"new york hospital queens, new york, new york, united states",-73.8251598,40.7473176
"saint joseph hospital-raymond and aida najjar polyclinic, beirut, lebanon",35.48868909999999,33.8823566
"dublin, ireland",-6.2603097,53.3498053
"sakarya, turkey",30.4357631,40.6939973
"belgrade, serbia",20.4489216,44.786568
"mangalore, india",74.8559568,12.9141417
"al-sabah hospital, kuwait",47.9019802,29.32637549999999
new york hospital queens,-73.8261739,40.7470077
"he university hospital brno, brno, czech republic",16.5702582,49.1754001
"evangelismos hospital, athens, greece",23.7473348,37.9778997
"children’s hospital at montefiore, albert einstein college of medicine, bronx, new york, united states",-73.8460728,40.8486869
"glocal medical college and super speciality hospital, uttar pradesh, india",77.63963319999999,30.28988409999999
"the cleveland clinic, cleveland, ohio, united states",-81.6207701,41.5027008
"american  university of beirut medical center (aub-mc), beirut, lebanon",35.486152,33.897885
"university hospital oswaldo cruz, recife, brazil",-34.8876378,-8.047677799999999
"hospital de clínicas josé de san martín, buenos aires, argentina",-58.3999683,-34.5987057
hospital de clínicas josé de san martín,-58.3999683,-34.5987057
colombia,-74.297333,4.570868
"son espases hospital, mallorca, spain",2.6455916,39.6072298
"a coruña university hospital, a coruña, spain",-8.388385099999999,43.3441977
"aveiro, portugal",-8.6537539,40.6405055
"warsaw, poland",21.0122287,52.2296756
"university hospital of leicester nhs trust, leicester, united kingdom",-1.1353772,52.6283184
"military  hospital bégin, saint-mandé, france",2.4253137,48.843381
"the andes university hospital in mérida, mérida, venezuela",-71.1590883,8.586649099999999
"cook county hospital, chicago, illinois, united states",-87.6742879,41.8724775
colombia.,-74.297333,4.570868
"florence province, italy",11.2558136,43.7695604
"nagasaki medical center, ohmura city, japan",129.9728933,32.8954905
brazil,-51.92528,-14.235004
